id,address,lat,lng,house_no,city,state_code,zip_code
209,"3242 Albert Pike Rd, Hot Springs, AR 71913 USA",34.50663,-93.1292,3242,Hot Springs,AR,71913
664,"136 Thornton Ferry Rd, Hot Springs, AR 71913 USA",34.50229,-93.1259,136,Hot Springs,AR,71913
1046,"1100 Albert Pike Rd, Hot Springs, AR 71913 USA",34.49394,-93.0811,1100,Hot Springs,AR,71913
1783,"4326 Central Ave, Hot Springs, AR 71913 USA",34.45267,-93.0738,4326,Hot Springs,AR,71913
12,"200 Main St, Leola, AR 72084 USA",34.17615,-92.5917,200,Leola,AR,72084
854,"20290 Arch St, Little Rock, AR 72206 USA",34.56453,-92.3361,20290,Little Rock,AR,72206
152,"373 Highway # 49, Marvell, AR 72366 USA",34.55781,-90.9077,373,Marvell,AR,72366
867,"708 Holly St, McGehee, AR 71654 USA",33.62958,-91.4033,708,McGehee,AR,71654
968,"1123 Highway 62 E, Mountain Home, AR 72653 USA",36.35063,-92.3677,1123,Mountain Home,AR,72653
1420,"330 Highway 62 E, Mountain Home, AR 72653 USA",36.34161,-92.3821,330,Mountain Home,AR,72653
1656,"1124 Highway 62 E, Mountain Home, AR 72653 USA",36.35034,-92.3663,1124,Mountain Home,AR,72653
108,"566 Thomas Creek Dr, Newark, AR 72562 USA",35.70272,-91.4536,566,Newark,AR,72562
818,"3220 Springhill Dr, North Little Rock, AR 72117 USA",34.78403,-92.2176,3220,North Little Rock,AR,72117
962,"5001 Warden Rd, North Little Rock, AR 72116 USA",34.79799,-92.2197,5001,North Little Rock,AR,72116
1605,"7610 Northshore Pl, North Little Rock, AR 72118 USA",34.80368,-92.3464,7610,North Little Rock,AR,72118
1032,"2625 W Kingshighway, Paragould, AR 72450 USA",36.06018,-90.5206,2625,Paragould,AR,72450
696,"1609 N Thomasville Ave, Pocahontas, AR 72455 USA",36.27236,-90.9757,1609,Pocahontas,AR,72455
328,"7720 Highway 62, Pollard, AR 72456 USA",36.42895,-90.2743,7720,Pollard,AR,72456
1642,"107 N Elmira Ave, Russellville, AR 72802 USA",35.27855,-93.1036,107,Russellville,AR,72802
